
"愛国自動車学校","0154-36-1281","釧路市愛国東1-29-14"
"麻生自動車学校","011-726-5251","札幌市北区北36条西5-1-1"
"厚沢部ドライバーズスクール","0139-64-3177","檜山郡厚沢部町緑町51"
"網走自動車学校","0152-43-4431","網走市字潮見323の26"
"岩見沢自動車学校","0126-22-0307","岩見沢市鳩が丘2-17-26"
"美しが丘自動車学校","011-884-8786","札幌市清田区平岡1条4-1-1"
"浦河自動車学校","0146-22-3039","浦河郡浦河町東町うしお2-4-11"
"恵庭自動車学校","0123-32-2302","恵庭市黄金北2-1-3"
"江別自動車学校","011-382-9111","江別市東野幌232-1"
"遠軽自動車学校","0158-42-2227","紋別郡遠軽町2条通南1丁目2-4"
"大麻ドライビングスクール","011-398-2525","江別市大麻北町523"
"小樽自動車学校","0134-54-8131","小樽市新光2-20-33"
"小樽中央自動車学校","0134-26-3515","小樽市オタモイ3-6-1"
"帯広自動車学校","0155-34-5095","帯広市緑ヶ丘9-2"
"帯広第一自動車学校","0155-48-4611","帯広市稲田町東1線12"
"オホーツク自動車学校","0152-74-4300","網走郡大空町女満別昭和59"
"亀田自動車学校","0138-46-1744","函館市桔梗1丁目26-7"
"北広島自動車学校","011-373-4811","北広島市共栄16-1"
"釧路自動車学校","0154-37-1115","釧路市芦野5-12-1"
"釧路星ヶ浦自動車学校","0154-57-8127","釧路市大楽毛南2-2-76"
"倶知安自動車学校","0136-22-1573","虻田郡倶知安町字比羅夫70"
"栗山自動車学校","0123-76-7323","夕張郡栗山町桜丘2-226"
"札幌インター自動車学校","011-875-2211","札幌市白石区米里2条3-5-1"
"札幌篠路自動車学校","011-771-2224","札幌市北区篠路1条8-6-30"
"札幌東自動車学校","011-851-8151","札幌市豊平区月寒東2条10-4-27"
"静内総合自動車学校","0146-42-1246","日高郡ひだか町木場町2-3-50"
"斜里自動車学校","0152-23-3195","斜里郡斜里町朝日町2-6"
"白石中央自動車学園","011-861-3334","札幌市白石区本郷通2丁目南5-33"
"新札幌自動車学園","011-375-2155","北広島市西の里373-1"
"新得モータースクール","0156-64-6111","上川郡新得町本通北6丁目17"
"砂川自動車学校","0125-52-2266","砂川市東5条北8-1-1"
"桑園自動車学校","011-271-7511","札幌市中央区北8条西14-28"
"空知自動車学校","0125-23-1101","滝川市新町4-7-30"
"伊達自動車学校","0142-25-6131","伊達市館山町37-8"
"千歳自動車学校","0123-23-3213","千歳市真々地2-5-2"
"中央バス自動車学校","011-764-2525","札幌市北区新琴似8条17-1-1"
"町立沼田自動車学校","0164-35-2717","雨竜郡沼田町旭町1-1-39"
"手稲自動車学校","011-683-5131","札幌市手稲区星置2条1-13-1"
"鉄工団地自動車学園","011-663-1414","札幌市西区発寒16条13-1-10"
"道南自動車学校","0138-51-5612","函館市金堀町5-18"
"道北自動車学校","0165-23-2676","士別市東1条北9-2-1"
"苫小牧ドライビングスクール","0144-55-7191","苫小牧市拓勇東町8-6-68"
"苫小牧中野自動車学校","0144-32-6204","苫小牧市新中野町2-18-11"
"富川自動車学校","01456-2-1292","沙流郡日高町富川西1丁目5-4"
"中標津町自動車学校","0153-72-2417","標津郡中標津町丸山2-26"
"中頓別町立自動車学校","01634-6-1667","枝幸郡中頓別町字寿70"
"名寄自動車学校","01654-3-7171","名寄市字徳田231-4"
"根室相互自動車学校","0153-22-3811","根室市穂香102"
"野付牛自動車学校","0157-24-6356","北見市末広町163-75"
